Nr.;Time;Photo;Distance [m];Area [m²];Volume [m³];Inclination [°];V [°];Hz [°];X [m];Y [m];Z [m];Accuracy [mm]
1;08:38:50;0;7,1532;;;;87,668;127,242;0;0;0;6,5
2;08:39:05;0;7,2107;;;;83,541;127,409;0,0271;0;0,52;6,5
3;08:39:14;0;7,2222;;;;82,89;127,397;0,0269;0,0023;0,6028;6,5
5;08:39:28;0;7,2624;;;;80,516;127,448;0,0295;-0,0047;0,9055;6,6
6;08:39:39;0;7,1604;;;;80,645;133,878;0,5485;-0,6185;0,8728;6,5
7;08:39:49;0;7,1511;;;;80,452;135,681;0,6906;-0,7897;0,8951;6,5
8;08:40:05;0;7,1744;;;;78,421;135,723;0,6764;-0,8095;1,1489;6,5
9;08:40:30;0;7,1424;;;;80,441;142,917;1,2381;-1,4905;0,895;6,5
10;08:41:38;0;7,3297;;;;80,546;148,842;1,7872;-2,0172;0,9128;6,6
11;08:41:57;0;1,7781;;;;80,498;150,368;-2,9793;-4,7155;0,0024;1,9
12;08:42:08;0;7,4973;;;;80,288;119,709;-0,6358;0,7521;0,9736;6,8
13;08:42:18;0;7,5671;;;;80,51;118,054;-0,7817;0,9258;0,9565;6,8
14;08:42:38;0;7,527;;;;78,74;119,837;-0,626;0,7367;1,1786;6,8
15;08:43:14;0;3,1196;;;;106,747;111,373;-3,3419;-2,7838;-1,1902;3
16;08:43:26;0;2,972;;;;107,436;109,857;-3,4716;-2,8939;-1,1818;2,9
17;08:43:52;0;2,9728;;;;107,393;109,753;-3,4759;-2,8907;-1,1799;2,9
18;08:44:13;0;2,5384;;;;110,422;102,993;-3,9127;-3,2263;-1,1771;2,5
19;08:44:26;0;2,3574;;;;112,319;98,276;-4,1396;-3,3776;-1,1867;2,4
20;08:44:40;0;2,3969;;;;111,815;95,665;-4,2318;-3,3178;-1,1822;2,4
21;08:45:06;0;2,8723;;;;87,524;109,227;-3,4889;-2,8525;-0,1669;2,8
22;08:45:16;0;2,9144;;;;87,465;107,257;-3,5675;-2,7786;-0,1621;2,9
23;08:45:32;0;2,9146;;;;78,152;109,676;-3,4747;-2,8775;0,3073;2,9
