Nr.;Time;Photo;Distance [m];Area [m²];Volume [m³];Inclination [°];V [°];Hz [°];X [m];Y [m];Z [m];Accuracy [mm]
1;11:08:56;0;5,209;;;;73,192;63,243;0;0;0;4,8
2;11:09:14;0;3,3401;;;;79,386;78,918;2,0289;0;-0,8909;3,2
3;11:09:22;0;3,407;;;;80,586;79,481;1,9924;0,0765;-0,9489;3,3
4;11:09:31;0;3,3053;;;;80,052;77,602;2,0003;-0,0746;-0,9351;3,2
5;11:09:31;0;3,3053;;;;80,052;77,602;2,0003;-0,0746;-0,9351;3,2
6;11:09:38;0;3,4259;;;;106,733;78,387;2,0083;-0,0224;-2,4926;3,3
7;11:09:49;0;3,5337;;;;106,418;76,126;1,8404;-0,0536;-2,505;3,4
8;11:09:50;0;3,5337;;;;106,418;76,126;1,8404;-0,0536;-2,505;3,4
9;11:10:01;0;3,2849;;;;62,456;84,79;2,5162;-0,0345;0,0123;3,2
10;11:10:15;0;3,1643;;;;61,377;88,152;2,7307;-0,0275;0,0091;3,1
11;11:10:22;0;3,2139;;;;61,663;89,701;2,7582;0,0597;0,0188;3,1
12;11:10:33;0;3,1552;;;;57,692;89,919;2,8654;-0,0628;0,1794;3,1
13;11:10:39;0;3,3212;;;;53,037;90,452;2,8932;-0,0586;0,4898;3,2
14;11:10:45;0;3,2262;;;;52,088;93,827;3,0806;-0,0591;0,4751;3,1
15;11:10:46;0;3,2262;;;;52,088;93,827;3,0806;-0,0591;0,4751;3,1
16;11:10:52;0;5,0103;;;;52,861;95,601;2,385;1,2157;1,5177;4,6
17;11:10:59;0;3,2114;;;;51,62;93,684;3,0908;-0,0858;0,4866;3,1
18;11:11:07;0;3,2995;;;;52,619;90,138;2,9009;-0,0927;0,4959;3,2
19;11:11:13;0;3,3454;;;;49,375;91,913;3,0143;-0,1123;0,6707;3,2
20;11:11:19;0;3,136;;;;45,616;105,535;3,653;-0,1013;0,6858;3
21;11:11:20;0;3,136;;;;45,616;105,535;3,653;-0,1013;0,6858;3
22;11:11:26;0;3,1243;;;;45,013;108,975;3,789;-0,0851;0,7009;3
23;11:11:33;0;4,704;;;;42,905;108,649;3,4592;0,8511;1,9377;4,4
24;11:11:39;0;2,995;;;;48,005;106,818;3,705;-0,0974;0,4963;2,9
25;11:11:46;0;4,7042;;;;49,656;107,696;3,2802;1,1949;1,538;4,4
26;11:11:52;0;2,802;;;;53,184;108,611;3,7648;-0,0573;0,1719;2,8
27;11:11:59;0;2,7098;;;;55,85;107,792;3,7347;-0,0682;0,0141;2,7
28;11:12:05;0;2,8091;;;;57,275;108,113;3,7068;0,0501;0,0116;2,8
29;11:12:14;0;2,3785;;;;21,802;69,253;3,7385;-1,7143;0,6986;2,4
30;11:12:22;0;2,4174;;;;24,117;67,858;3,6374;-1,6795;0,6968;2,4
31;11:12:32;0;2,384;;;;21,119;69,507;3,7612;-1,724;0,714;2,4
32;11:12:40;0;3,516;;;;51,411;65,847;2,072;-0,8681;0,6857;3,4
33;11:12:41;0;3,516;;;;51,411;65,847;2,072;-0,8681;0,6857;3,4
34;11:12:46;0;3,5797;;;;48,054;63,743;2,1026;-0,9958;0,8852;3,4
35;11:18:57;0;3,6178;;;;64,882;78,026;2,0019;-0,0442;0,0291;3,4
36;11:19:07;0;2,8883;;;;45,8;134,235;4,732;-0,127;0,5059;2,8
